county_fips,year,complete_count,public_status,public_lower,public_upper,posterior_mean,posterior_median,posterior_lower_95,posterior_upper_95,absolute_error_posterior_mean,squared_error_posterior_mean,truth_covered_by_95_interval
20143,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20143,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20143,2021,1,suppressed_1_9,1,9,1.035,1.0,1.0,2.0,0.03499999999999992,0.0012249999999999943,True
20143,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20143,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20143,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20149,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20149,2020,1,suppressed_1_9,1,9,1.0,1.0,1.0,1.0,0.0,0.0,True
20149,2021,1,suppressed_1_9,1,9,1.1820833333333334,1.0,1.0,2.0,0.18208333333333337,0.03315434027777779,True
20149,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20149,2023,1,suppressed_1_9,1,9,1.1575,1.0,1.0,2.0,0.15749999999999997,0.02480624999999999,True
20149,2024,1,suppressed_1_9,1,9,1.13625,1.0,1.0,2.0,0.13624999999999998,0.018564062499999995,True
20183,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20183,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20183,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20183,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20183,2023,1,suppressed_1_9,1,9,1.0295833333333333,1.0,1.0,2.0,0.029583333333333295,0.0008751736111111088,True
20183,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21033,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21033,2020,1,suppressed_1_9,1,9,1.40375,1.0,1.0,3.0,0.40375000000000005,0.16301406250000006,True
21033,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21033,2022,1,suppressed_1_9,1,9,1.6079166666666667,1.0,1.0,4.0,0.6079166666666667,0.3695626736111111,True
21033,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21033,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21091,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21091,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21091,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21091,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21091,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21091,2024,1,suppressed_1_9,1,9,1.3875,1.0,1.0,3.0,0.38749999999999996,0.15015624999999996,True
21103,2019,1,suppressed_1_9,1,9,1.4408333333333334,1.0,1.0,3.0,0.4408333333333334,0.19433402777777783,True
21103,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21103,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21103,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
21103,2023,2,suppressed_1_9,1,9,1.4883333333333333,1.0,1.0,3.0,0.5116666666666667,0.26180277777777783,True
