parameter,scale,posterior_mean,posterior_median,credible_interval_lower_95,credible_interval_upper_95,posterior_probability_gt_1,r_hat,ess_bulk,ess_tail,mcse_mean,draws
state_effect[30],model_parameter,-0.019423413940714673,-0.019301441205225478,-0.15987028202526238,0.11788702661619353,,1.0024177109688637,3902.8034924757667,7695.027831669544,0.001129988938656641,36000
state_effect[31],model_parameter,0.11521399041657658,0.115465485418383,0.0025583409861665144,0.2274155325607123,,1.0013836561353295,5933.0313319423685,11963.183573304117,0.0007455954285798239,36000
state_effect[32],model_parameter,-0.31104621072542304,-0.31139566252432094,-0.4671300747049938,-0.15534472911936828,,1.0026697176592574,3008.7655645448917,6630.11981107604,0.0014514668798735347,36000
state_effect[33],model_parameter,-0.10625056148373646,-0.10562830701987547,-0.2529449318988576,0.038774895938511765,,1.0033281914476724,3433.43244619562,7351.492738470911,0.0012869860758076379,36000
state_effect[34],model_parameter,-0.32694596684627464,-0.3270063653216898,-0.41103031053070355,-0.24246076221836263,,1.0004461772786466,8607.807796481036,17301.601912549275,0.00046246703544638686,36000
state_effect[35],model_parameter,0.03622584239487056,0.03619048470860893,-0.07144954136778973,0.14451979977329502,,1.0009691841846582,6304.342670769704,12637.86005802454,0.0006937585702653162,36000
state_effect[36],model_parameter,-0.09965624819566686,-0.09955047580237229,-0.1604585135833521,-0.03961488004582318,,1.0003893381255196,13100.036164679985,24623.008455707244,0.0002694223727790526,36000
state_effect[37],model_parameter,-0.08112811205280795,-0.08095171435439187,-0.13878040952931192,-0.02343135691668781,,1.0003003229267775,15214.034850266651,24413.490796103066,0.0002380481640469028,36000
state_effect[38],model_parameter,-0.113076261449793,-0.11191292903029298,-0.2935279995506179,0.060110150263524335,,1.0045657097348746,2515.392517084606,5061.075848228472,0.0017871246640714744,36000
state_effect[39],model_parameter,-0.047182896266846575,-0.04719983646299851,-0.10594273107794087,0.012007851102384729,,1.0000750025246998,15307.181565018776,26712.301121551507,0.00024320399112436983,36000
state_effect[40],model_parameter,0.13305811143407162,0.1330240868069495,0.052509419196024455,0.2129611648613835,,1.000675495853878,10025.669418999541,19103.968735132443,0.00041048315831166565,36000
state_effect[41],model_parameter,0.1378680226098355,0.1381328230095366,0.05362316066732995,0.2214231215345628,,1.0009558536168353,10086.803728363278,18678.992711066167,0.00042656202787985675,36000
state_effect[42],model_parameter,0.01575802961500592,0.015804108794393538,-0.04351552011936079,0.07446350115787673,,1.0002651682723722,15627.226366580526,24528.270910549232,0.00024027060204291642,36000
state_effect[44],model_parameter,0.14297385707657198,0.14216230376021416,-0.027556285381103735,0.3146941065308855,,1.0007967223080831,2631.0043671404137,5818.786282571287,0.0016923600067495995,36000
state_effect[45],model_parameter,0.2509010934954614,0.25106109084166595,0.1796278961711255,0.3222771447693242,,1.000611932731686,11713.289299987875,21610.624892875938,0.0003356815101529466,36000
state_effect[46],model_parameter,0.20429459288720983,0.20497380811537258,0.06631495188301638,0.3402568745236305,,1.0016805163146076,3974.798829364588,8673.095006036236,0.0011089254306037302,36000
state_effect[47],model_parameter,0.14858717189262685,0.1489920899642211,0.08348311837044038,0.21245866670302593,,1.0001456471371986,13345.488473064954,23704.75220595878,0.0002849820438693083,36000
state_effect[48],model_parameter,0.007059282455907137,0.0070318711883625915,-0.040019073811326,0.05433181853433928,,1.0006778251321935,12031.726641648853,27008.886145870136,0.00021880875201924296,36000
state_effect[49],model_parameter,0.08869106130217358,0.08935584165164477,-0.026335820564446888,0.20160931208344365,,1.0023617197677845,5225.155941089108,11229.93131263042,0.0008079860649409412,36000
state_effect[50],model_parameter,0.21505491548941102,0.2155000652473115,0.05844202697423711,0.37060162770567917,,1.0022838736644026,2908.5048264726556,5990.946781057195,0.001490168165629976,36000
