parameter,scale,v111_mean,v111_median,v111_lower_95,v111_upper_95,corrected_prior_reweighted_mean,corrected_prior_reweighted_median,corrected_prior_reweighted_lower_95,corrected_prior_reweighted_upper_95,median_absolute_shift,median_relative_shift_percent
state_effect[29],model_parameter,-0.04023955710111817,-0.04011352356972652,-0.11169162338346372,0.031795447801396294,-0.040560291269340715,-0.04050710741652282,-0.11208338781973844,0.03176507700120036,-0.0003935838467962957,0.9811749549055504
state_effect[30],model_parameter,-0.019423413940714673,-0.019301441205225478,-0.15987028202526238,0.11788702661619353,-0.019528760463950207,-0.01942635308152215,-0.1610623239920158,0.11790669785761906,-0.0001249118762966725,0.6471634680982108
state_effect[31],model_parameter,0.11521399041657658,0.115465485418383,0.0025583409861665144,0.2274155325607123,0.11563315370050252,0.11585673937010643,0.002692300926033259,0.22748637898785692,0.00039125395172343036,0.33884926764542467
state_effect[32],model_parameter,-0.31104621072542304,-0.31139566252432094,-0.4671300747049938,-0.15534472911936828,-0.3121724189888355,-0.31261051871935963,-0.46851614005176195,-0.155185034712276,-0.0012148561950386938,0.3901326644020875
state_effect[33],model_parameter,-0.10625056148373646,-0.10562830701987547,-0.2529449318988576,0.038774895938511765,-0.10652460422343837,-0.10604212189147182,-0.25402668212050267,0.03865302619505774,-0.0004138148715963491,0.39176512742788994
state_effect[34],model_parameter,-0.32694596684627464,-0.3270063653216898,-0.41103031053070355,-0.24246076221836263,-0.32768453290932237,-0.3278247326771224,-0.41165121161107054,-0.2433335018182653,-0.0008183673554326143,0.25026037478736995
state_effect[35],model_parameter,0.03622584239487056,0.03619048470860893,-0.07144954136778973,0.14451979977329502,0.036464334032431586,0.03631401426068716,-0.07111472880964988,0.1455143883670122,0.00012352955207822758,0.3413315767192282
state_effect[36],model_parameter,-0.09965624819566686,-0.09955047580237229,-0.1604585135833521,-0.03961488004582318,-0.09977882272557234,-0.09969565373867978,-0.16029649784612718,-0.03962436728725224,-0.0001451779363074862,0.14583349314742922
state_effect[37],model_parameter,-0.08112811205280795,-0.08095171435439187,-0.13878040952931192,-0.02343135691668781,-0.0812010100302145,-0.08111195419770821,-0.13874004569788395,-0.02354950440903206,-0.0001602398433163399,0.1979449658284338
state_effect[38],model_parameter,-0.113076261449793,-0.11191292903029298,-0.2935279995506179,0.060110150263524335,-0.1135340448267977,-0.11201264602721019,-0.29525557194346286,0.05902433821798889,-9.971699691720126e-05,0.08910230281811149
state_effect[39],model_parameter,-0.047182896266846575,-0.04719983646299851,-0.10594273107794087,0.012007851102384729,-0.04713219493511467,-0.047200179284302715,-0.10550205342581387,0.011793464731680036,-3.428213042055983e-07,0.0007263188390060904
state_effect[40],model_parameter,0.13305811143407162,0.1330240868069495,0.052509419196024455,0.2129611648613835,0.13284708530580364,0.13275185207894558,0.052386707893207,0.21277936078617882,-0.00027223472800391724,-0.20465070239421568
state_effect[41],model_parameter,0.1378680226098355,0.1381328230095366,0.05362316066732995,0.2214231215345628,0.13771518097726204,0.1379882260608033,0.05345954029907137,0.2216364271293851,-0.00014459694873331097,-0.10467964498439564
state_effect[42],model_parameter,0.01575802961500592,0.015804108794393538,-0.04351552011936079,0.07446350115787673,0.015730383016282212,0.015866096668661157,-0.04353268699990031,0.0744800059012903,6.198787426761956e-05,0.39222631958601983
state_effect[44],model_parameter,0.14297385707657198,0.14216230376021416,-0.027556285381103735,0.3146941065308855,0.14431478788119853,0.14281786172704108,-0.027623427698604833,0.31896743961001334,0.0006555579668269251,0.4611334717342874
state_effect[45],model_parameter,0.2509010934954614,0.25106109084166595,0.1796278961711255,0.3222771447693242,0.2512083323343235,0.2514482641662379,0.17970940037860614,0.322929410760885,0.0003871733245719433,0.1542147862394705
state_effect[46],model_parameter,0.20429459288720983,0.20497380811537258,0.06631495188301638,0.3402568745236305,0.20515377040978144,0.20589998721224664,0.06691009499766463,0.3403933485283336,0.0009261790968740635,0.4518524124568879
state_effect[47],model_parameter,0.14858717189262685,0.1489920899642211,0.08348311837044038,0.21245866670302593,0.14865685252683297,0.1491962557520925,0.08284522332004099,0.21250498221441377,0.0002041657878713854,0.1370312933528295
state_effect[48],model_parameter,0.007059282455907137,0.0070318711883625915,-0.040019073811326,0.05433181853433928,0.00696476251090516,0.006964619089055726,-0.04015434047381951,0.05427358876042327,-6.72520993068651e-05,-0.9563898072843524
state_effect[49],model_parameter,0.08869106130217358,0.08935584165164477,-0.026335820564446888,0.20160931208344365,0.08902119164027837,0.08983179202997535,-0.025981868287186,0.20133670951285362,0.00047595037833057796,0.5326460693930724
state_effect[50],model_parameter,0.21505491548941102,0.2155000652473115,0.05844202697423711,0.37060162770567917,0.21617377306122415,0.21690664751070882,0.05887942371967987,0.3718471806387206,0.0014065822633973213,0.6527061891063113
state_effect[51],model_parameter,0.00569315487470264,0.005876275246876617,-0.056814069447174015,0.06852208287486573,0.005739369116657634,0.00587040092018859,-0.05651077252975702,0.06868064235263731,-5.8743266880267875e-06,-0.0999668402386189
state_effect[53],model_parameter,0.035493570662371104,0.03580466176550188,-0.042703289883447126,0.11261121323921296,0.03543767728901082,0.035520926878638504,-0.0425650416267457,0.11261193775934375,-0.00028373488686337517,-0.7924523591974153
state_effect[54],model_parameter,0.056256521210310606,0.056240993911955944,-0.04916434794745521,0.16065570936287865,0.05636665627710191,0.05636354519747882,-0.04949811392923315,0.1608785238664023,0.0001225512855228747,0.21790384023925302
state_effect[55],model_parameter,0.032255607526859374,0.0319987962998701,-0.04349657655276199,0.10761206280378459,0.03246464274021012,0.032210751070106076,-0.04315519643408406,0.10758520831932586,0.00021195477023597947,0.6623835729622218
state_effect[56],model_parameter,0.07870107843083976,0.07872579273219169,-0.09255078211511457,0.2477463802109345,0.07922620169994327,0.07937276379895558,-0.09247850395600239,0.2486678930792141,0.0006469710667638962,0.8218031782350588
svi_quartile_Q2,mortality_rate_ratio,1.1131057488717246,1.1128195273925932,1.069041268610539,1.1580482841931528,1.1133182628955862,1.1129882027703335,1.069039356295927,1.1584520318601645,0.00016867537774034602,0.015157478242278088
svi_quartile_Q3,mortality_rate_ratio,1.2515795374357868,1.2513128932779196,1.2009646025071505,1.3035598967006097,1.2518421968534035,1.2516061979499968,1.2011551911821812,1.3037520999500682,0.00029330467207722144,0.023439754649134947
svi_quartile_Q4_highest,mortality_rate_ratio,1.4333882642072693,1.4329866240234084,1.3698697815979426,1.499754788149133,1.4338142221894117,1.4333195189134833,1.3699576257350439,1.500249769661201,0.00033289489007493067,0.023230844202881684
year_effect[2019],model_parameter,-0.23033305632621634,-0.23028785114511247,-0.258111619969303,-0.20285862373537464,-0.23098280594623888,-0.23099848911416693,-0.25870978437630476,-0.20348850861454496,-0.0007106379690544617,0.30858682536694104
year_effect[2020],model_parameter,-0.059695355693280744,-0.0597217354171623,-0.0860713520965133,-0.0336666901016452,-0.05980280673624882,-0.059800828947812905,-0.08606671761675742,-0.033713457857575034,-7.909353065060215e-05,0.13243675874139438
year_effect[2021],model_parameter,0.006184927957579944,0.006220222793186292,-0.01939879680183576,0.03183728958433774,0.0062076677698062275,0.0062199048291582005,-0.019381165091252383,0.0319102341004285,-3.179640280914081e-07,-0.005111778768429609
year_effect[2022],model_parameter,0.09235953071574839,0.09232894659302149,0.06707045487787751,0.11772441434615498,0.09265400602292262,0.09262044249430709,0.06729347870223826,0.11801848676351358,0.00029149590128560443,0.3157145316197374
year_effect[2023],model_parameter,0.09089943973533653,0.0909951021589751,0.0654748811093857,0.11596640261725366,0.09105291071261304,0.0911287564620319,0.06577122104330581,0.11604116698028921,0.00013365430305679882,0.14688076598154964
year_effect[2024],model_parameter,0.10058451361083225,0.10054589086889099,0.0755916145971184,0.1255282016383721,0.1008710281771458,0.10084837238768593,0.0757627987473893,0.1258051576688086,0.0003024815187949448,0.3008392647187996
z_pct_age65,model_parameter,0.0959733547978038,0.0960090841375892,0.07896338395125718,0.11283374158253638,0.09607181762470023,0.09610641164780857,0.07897983223991463,0.11304558681985094,9.732751021937491e-05,0.101373230557944
z_pct_male,model_parameter,-0.061442866865411894,-0.06135169186768217,-0.08459345027880724,-0.03848261095171449,-0.0614053388500371,-0.06131412979066639,-0.08454550265890376,-0.03846498288870557,3.756207701578057e-05,-0.06122419100811349
