query_id,row_type,year,state,state_fips,county,county_fips,urbanization,age_group,sex,race,hispanic_origin,place_of_death,deaths_raw,deaths,death_count_status,death_count_known,death_count_suppressed,death_count_zero,population,crude_rate,rate_status,notes,rate_per_100k
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Illinois,17,,,,,,,,,240,240,exact,True,False,False,12671469,1.9,known_or_blank,,1.894018759782311
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Illinois,17,,,,,,,,,285,285,exact,True,False,False,12582032,2.3,known_or_blank,,2.265134916204314
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Illinois,17,,,,,,,,,279,279,exact,True,False,False,12549689,2.2,known_or_blank,,2.22316266164046
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Illinois,17,,,,,,,,,275,275,exact,True,False,False,12710158,2.2,known_or_blank,,2.1636237724188794
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Indiana,18,,,,,,,,,169,169,exact,True,False,False,6732219,2.5,known_or_blank,,2.5103164350417004
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Indiana,18,,,,,,,,,229,229,exact,True,False,False,6754953,3.4,known_or_blank,,3.3901050088727485
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Indiana,18,,,,,,,,,267,267,exact,True,False,False,6805985,3.9,known_or_blank,,3.923017755695906
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Indiana,18,,,,,,,,,259,259,exact,True,False,False,6833037,3.8,known_or_blank,,3.7904082767296594
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Indiana,18,,,,,,,,,297,297,exact,True,False,False,6862199,4.3,known_or_blank,,4.328058687892905
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Indiana,18,,,,,,,,,296,296,exact,True,False,False,6924275,4.3,known_or_blank,,4.274815774936727
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Iowa,19,,,,,,,,,96,96,exact,True,False,False,3155070,3.0,known_or_blank,,3.0427217145736862
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Iowa,19,,,,,,,,,93,93,exact,True,False,False,3163561,2.9,known_or_blank,,2.9397252020744977
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Iowa,19,,,,,,,,,83,83,exact,True,False,False,3193079,2.6,known_or_blank,,2.599371954154595
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Iowa,19,,,,,,,,,114,114,exact,True,False,False,3200517,3.6,known_or_blank,,3.561924526568676
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Iowa,19,,,,,,,,,99,99,exact,True,False,False,3207004,3.1,known_or_blank,,3.0869933433198087
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Iowa,19,,,,,,,,,110,110,exact,True,False,False,3241488,3.4,known_or_blank,,3.3935032306150754
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Kansas,20,,,,,,,,,59,59,exact,True,False,False,2913314,2.0,known_or_blank,,2.025185064157176
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Kansas,20,,,,,,,,,74,74,exact,True,False,False,2913805,2.5,known_or_blank,,2.539634601491864
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Kansas,20,,,,,,,,,81,81,exact,True,False,False,2934582,2.8,known_or_blank,,2.7601886742302653
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Kansas,20,,,,,,,,,85,85,exact,True,False,False,2937150,2.9,known_or_blank,,2.8939618337504043
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Kansas,20,,,,,,,,,88,88,exact,True,False,False,2940546,3.0,known_or_blank,,2.992641502632504
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Kansas,20,,,,,,,,,83,83,exact,True,False,False,2970606,2.8,known_or_blank,,2.79404269701199
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Kentucky,21,,,,,,,,,128,128,exact,True,False,False,4467673,2.9,known_or_blank,,2.8650261556743297
