chain,draw,iteration,parameter,value
1,7,370,state_effect[16],-0.07939834917192448
1,7,370,state_effect[17],-0.1808834675965808
1,7,370,state_effect[18],0.17303138699068785
1,7,370,state_effect[19],0.0015836903332382196
1,7,370,state_effect[20],-0.04815054748266774
1,7,370,state_effect[21],-0.04392080329181812
1,7,370,state_effect[22],-0.10761724079338668
1,7,370,state_effect[23],0.07531683554922036
1,7,370,state_effect[24],0.019547076007194644
1,7,370,state_effect[25],-0.17388524064133462
1,7,370,state_effect[26],-0.1512112304143631
1,7,370,state_effect[27],0.1519341441655196
1,7,370,state_effect[28],0.17588071144463618
1,7,370,state_effect[29],-0.09280099830506472
1,7,370,state_effect[30],-0.0011364872564810654
1,7,370,state_effect[31],0.08416622656917838
1,7,370,state_effect[32],0.00623499042019439
1,7,370,state_effect[33],0.039275452787710045
1,7,370,state_effect[34],-0.18417798932446433
1,7,370,state_effect[35],-0.07120428808437036
1,7,370,state_effect[36],-0.06687963086572683
1,7,370,state_effect[37],-0.044731372181375004
1,7,370,state_effect[38],-0.1817593299228786
1,7,370,state_effect[39],-0.05816658698566158
1,7,370,state_effect[40],0.1568410542788384
1,7,370,state_effect[41],0.16965101985787723
1,7,370,state_effect[42],0.0491857748227933
1,7,370,state_effect[44],0.12291816383507478
1,7,370,state_effect[45],0.2118277679875406
1,7,370,state_effect[46],0.14165516507152412
1,7,370,state_effect[47],0.11083265796370415
1,7,370,state_effect[48],-0.024120223894241753
1,7,370,state_effect[49],0.1532635743246357
1,7,370,state_effect[50],0.008772022522824812
1,7,370,state_effect[51],0.05655856688707848
1,7,370,state_effect[53],-0.058143218474057345
1,7,370,state_effect[54],-0.02050762505311502
1,7,370,state_effect[55],0.01534121181415983
1,7,370,state_effect[56],0.08285981614572531
1,7,370,year_effect[2019],-0.238393115920419
1,7,370,year_effect[2020],-0.0553606622121322
1,7,370,year_effect[2021],-0.013885142275531163
1,7,370,year_effect[2022],0.0970508708994755
1,7,370,year_effect[2023],0.1074617686603449
1,7,370,year_effect[2024],0.103126280848262
1,7,370,sigma_state,0.11365889118417019
1,7,370,sigma_year,0.11720034249622825
1,7,370,kappa,2.681309764675564
1,8,380,Intercept,-10.624245834219062
1,8,380,primary_rurality_metro_other,0.10073040889828327
1,8,380,primary_rurality_nonmetro_adjacent,0.20931115172531256
1,8,380,primary_rurality_nonmetro_nonadjacent,0.17914616763181054
1,8,380,svi_quartile_Q2,0.10949099694032202
1,8,380,svi_quartile_Q3,0.261771157871574
1,8,380,svi_quartile_Q4_highest,0.3979384292478118
1,8,380,z_pct_age65,0.09211882140569477
1,8,380,z_pct_male,-0.04084324957732392
1,8,380,state_effect[01],-0.23337912699193072
1,8,380,state_effect[02],0.056378863748791884
1,8,380,state_effect[04],-0.15506592261066865
1,8,380,state_effect[05],0.0546094147793989
1,8,380,state_effect[06],-0.036437557959337355
1,8,380,state_effect[08],0.12412881088372371
1,8,380,state_effect[09],0.24925380682809387
1,8,380,state_effect[10],-0.06946714809618429
1,8,380,state_effect[11],-0.002530856895702183
1,8,380,state_effect[12],-0.2282637126948305
