replicate,scenario,parameter,truth_irr,posterior_median_irr,posterior_lower_95,posterior_upper_95,bias_irr,relative_bias_percent,squared_error_irr,interval_width,truth_covered_by_95_interval,r_hat,ess_bulk,ess_tail
11,higher_rate_5_0_kappa_10,svi_quartile_Q2,1.1,1.0040315064709922,0.8133298624391473,1.2561962441544292,-0.0959684935290079,-8.724408502637083,0.0092099517502272,0.4428663817152819,True,1.0141868378503838,418.6222858964552,1032.1567239294577
11,higher_rate_5_0_kappa_10,svi_quartile_Q3,1.25,1.1614189946901738,0.94351290237463,1.4270058635009306,-0.0885810053098261,-7.086480424786091,0.0078465945016994,0.4834929611263007,True,1.0185755981507312,311.0967822456715,877.7704555635497
11,higher_rate_5_0_kappa_10,svi_quartile_Q4_highest,1.43,1.229057883300022,0.9323896745829532,1.6167775760866885,-0.2009421166999778,-14.051896272725727,0.0403777342638675,0.6843879015037352,True,1.019212588523308,241.9222878134302,538.071636552071
12,baseline_rate_3_4_kappa_4,primary_rurality_metro_other,1.12,1.0429763859233805,0.7473903475380564,1.4290690523360166,-0.0770236140766196,-6.877108399698184,0.005932637125424,0.6816787047979601,True,1.0121572958887128,326.3515159048319,894.5438502108598
12,baseline_rate_3_4_kappa_4,primary_rurality_nonmetro_adjacent,1.27,1.2521001037699453,0.815295576609253,1.9177161108924083,-0.0178998962300547,-1.409440648035809,0.0003204062850467,1.1024205342831557,True,1.0180565918149107,146.02649511777847,287.4563839872459
12,baseline_rate_3_4_kappa_4,primary_rurality_nonmetro_nonadjacent,1.23,1.3909526559161949,0.8695495374304048,2.131549077217805,0.1609526559161946,13.085581781804455,0.0259057574464769,1.2619995397874004,True,1.0239868302669664,153.9145865797706,350.82444129496406
12,baseline_rate_3_4_kappa_4,svi_quartile_Q2,1.1,1.0505846915373662,0.7439408028432836,1.4907815147577974,-0.0494153084626338,-4.492300769330349,0.0024418727104572,0.7468407119145138,True,1.0158485632966143,240.2332032301315,498.4736621050329
12,baseline_rate_3_4_kappa_4,svi_quartile_Q3,1.25,1.4318500917198067,1.0603753997653789,1.9500203029331864,0.1818500917198067,14.548007337584544,0.0330694558585021,0.8896449031678075,True,1.0087263159352382,296.36183684207737,724.8673548125468
12,baseline_rate_3_4_kappa_4,svi_quartile_Q4_highest,1.43,1.6275729551223552,1.1098455798847733,2.3515273124907514,0.1975729551223553,13.81629056799687,0.0390350725957802,1.241681732605978,True,1.012298727137217,238.30292746021357,548.9433535473282
13,baseline_rate_3_4_kappa_10,primary_rurality_metro_other,1.12,1.1711282190337866,0.89981786359454,1.5126606326241734,0.0511282190337865,4.565019556588079,0.0026140947815668,0.6128427690296334,True,1.016400772424192,262.0072365402717,750.2326606599773
13,baseline_rate_3_4_kappa_10,primary_rurality_nonmetro_adjacent,1.27,1.1040401038362289,0.7797696871526699,1.5703263268656211,-0.1659598961637711,-13.06770835935206,0.0275426871346897,0.7905566397129512,True,1.017194854522313,179.61407954397924,595.3874942763404
13,baseline_rate_3_4_kappa_10,primary_rurality_nonmetro_nonadjacent,1.23,1.1080871564458432,0.7924560916277621,1.5892142596364431,-0.1219128435541567,-9.91161329708592,0.0148627414234603,0.796758168008681,True,1.012491467892792,169.63480738285642,392.6709585873418
13,baseline_rate_3_4_kappa_10,svi_quartile_Q2,1.1,0.996929327150017,0.7616558007987138,1.332018044151971,-0.103070672849983,-9.370061168180277,0.0106235636017482,0.5703622433532571,True,1.0219988258238952,247.49708702936184,544.778690110562
13,baseline_rate_3_4_kappa_10,svi_quartile_Q3,1.25,1.0933214012752708,0.867573971874534,1.4190890380049552,-0.1566785987247292,-12.534287897978336,0.0245481832983447,0.5515150661304212,True,1.0171767518367856,238.16288328185615,671.9454969183498
