chain,draw,l1_distance_free_cells,changed_free_cells,fraction_free_cells_changed
4,70,10526,4280,0.44146467251160393
4,71,10546,4293,0.44280556988138214
4,72,10600,4307,0.4442496132026818
4,73,10602,4319,0.44548736462093863
4,74,10668,4332,0.44682826199071685
4,75,10718,4341,0.4477565755544095
4,76,10754,4338,0.4474471376998453
4,77,10752,4351,0.4487880350696235
4,78,10770,4365,0.45023207839092316
4,79,10794,4361,0.44981949458483755
4,80,10758,4362,0.44992264053635894
4,81,10788,4360,0.44971634863331617
4,82,10816,4370,0.45074780814853016
4,83,10804,4374,0.45116039195461577
4,84,10798,4375,0.45126353790613716
4,85,10834,4385,0.4522949974213512
4,86,10868,4403,0.4541516245487365
4,87,10884,4412,0.4550799381124291
4,88,10906,4433,0.4572460030943786
4,89,11014,4449,0.458896338318721
4,90,11054,4467,0.4607529654461062
4,91,11070,4487,0.4628158844765343
4,92,11088,4508,0.46498194945848376
4,93,11126,4504,0.46456936565239815
4,94,11122,4503,0.46446621970087676
4,95,11078,4500,0.46415678184631254
4,96,11192,4527,0.4669417225373904
4,97,11226,4547,0.46900464156781846
4,98,11220,4536,0.467870036101083
4,99,11312,4556,0.46993295513151107
4,100,11382,4564,0.4707581227436823
